R,G,B
229,170,140
164,128,110
210,163,154
179,126,75
215,170,159
210,153,125
204,165,148
209,164,141
214,168,152
132,81,62
192,144,117
211,159,127
174,143,139
183,128,110
185,141,129
200,139,109
163,106,77
170,109,85
198,128,103
174,140,117
207,134,97
205,142,112
203,160,148
188,140,113
169,111,94
186,134,91
172,113,98
209,157,132
211,148,115
186,117,84
165,112,83
186,153,141
179,124,91
218,167,141
176,140,111
193,145,107
195,131,102
225,166,143
231,161,129
187,147,136
193,149,122
198,142,104
211,163,138
216,158,112
198,151,128
212,139,100
218,166,135
200,136,100
200,151,130
213,148,107
179,122,83
204,149,116
200,150,129
200,152,124
193,155,132
218,178,154
214,163,142
233,176,149
198,144,116
203,155,123
209,171,152
199,148,131
194,149,126
188,127,95
159,124,98
145,104,90
188,129,102
216,180,163
211,151,121
194,149,119
200,140,115
213,163,133
218,165,128
192,112,77
184,130,110
225,176,152
145,79,34
211,119,101
133,81,51
189,145,126
198,139,106
197,135,93
212,158,132
228,165,129
205,130,90
213,175,159
180,144,129
215,172,154
205,150,117
190,150,133
213,165,140
174,146,135
226,154,120
227,182,160
203,153,126
185,137,104
212,159,127
198,159,118
182,132,111
204,145,103
151,113,95
189,137,103
178,144,131
149,108,87
170,124,103
135,93,82
202,139,112
194,143,117
175,111,72
170,127,105
197,130,96
215,161,132
199,129,84
186,133,97
224,173,148
156,94,63
195,134,92
210,160,129
212,174,134
212,149,114
223,166,135
212,164,117
206,172,146
228,172,136
198,154,138
187,146,129
205,164,127
242,177,140
141,94,69
214,163,145
94,76,73
184,147,131
216,169,152
232,177,146
206,148,109
136,97,87
200,152,136
94,71,63
192,152,137
161,122,110
220,168,146
193,137,112
185,143,131
213,160,122
155,120,95
220,154,127
164,121,93
195,155,137
204,151,117
193,156,150
225,156,117
206,170,145
179,132,104
211,163,145
244,189,172
141,100,93
200,154,121
186,150,131
213,164,126
184,132,114
179,128,101
203,142,105
203,161,147
167,115,82
193,148,120
215,161,120
240,165,124
168,144,129
185,126,98
195,119,69
170,122,91
223,156,126
188,145,127
186,140,128
196,144,114
200,154,125
170,107,63
218,168,143
204,150,120
194,133,110
214,164,136
147,113,107
202,152,138
179,107,87
173,139,118
205,145,115
183,131,105
196,153,132
207,177,156
201,150,116
151,116,92
231,167,131
182,149,126
166,112,80
206,149,118
179,121,86
161,126,111
195,162,142
219,171,151
153,117,101
201,156,141
200,166,148
201,142,122
175,128,102
203,150,116
215,164,138
211,169,128
213,150,114
217,173,145
198,145,117
188,130,104
186,123,84
175,116,80
230,179,151
173,119,82
219,166,132
234,196,175
187,134,110
165,119,117
222,166,139
207,150,126
209,171,144
154,110,92
185,131,107
148,123,109
207,148,112
199,157,134
183,131,95
208,160,147
209,169,138
184,144,123
175,126,91
196,152,128
187,129,94
209,155,135
220,177,157
178,144,136
157,96,50
208,171,156
172,110,70
167,120,96
130,84,51
151,118,101
178,135,105
212,151,120
203,146,108
224,173,141
187,154,125
195,128,98
178,115,87
217,156,129
233,178,150
208,163,137
236,197,177
198,146,128
225,175,137
126,78,64
187,137,107
214,125,88
180,117,89
216,164,146
186,136,109
193,144,119
212,153,136
229,147,75
194,156,134
207,154,132
201,153,128
207,129,107
214,137,88
192,151,137
204,135,113
200,152,132
183,145,131
203,165,139
174,116,83
187,135,95
203,151,127
200,139,102
227,174,144
209,152,132
206,165,143
218,172,143
201,141,116
197,136,111
182,135,111
218,158,139
187,133,97
208,171,158
218,168,141
195,123,86
244,176,149
192,132,112
198,152,131
210,169,131
218,171,151
237,186,160
190,136,111
219,166,138
211,156,125
150,113,93
220,171,140
